EmployeeCode,LogDateTime,LogDate,LogTime,Direction
1285,2021-03-23 18:16:57,2021-03-23,18:16:57.0000000,out
0019,2021-03-23 18:39:38,2021-03-23,18:39:38.0000000,out
1272,2021-03-23 18:54:39,2021-03-23,18:54:39.0000000,out
1289,2021-03-23 19:04:22,2021-03-23,19:04:22.0000000,out
1123,2021-03-23 19:04:26,2021-03-23,19:04:26.0000000,out
0019,2021-03-23 19:54:59,2021-03-23,19:54:59.0000000,out
70000,2021-03-23 20:51:56,2021-03-23,20:51:56.0000000,out
70000,2021-03-23 21:14:42,2021-03-23,21:14:42.0000000,out
1290,2021-03-23 22:05:02,2021-03-23,22:05:02.0000000,out
0847,2021-03-23 22:44:08,2021-03-23,22:44:08.0000000,out
70000,2021-03-23 22:46:19,2021-03-23,22:46:19.0000000,out
70000,2021-03-24 06:27:32,2021-03-24,06:27:32.0000000,in
70000,2021-03-24 07:41:19,2021-03-24,07:41:19.0000000,in
00021,2021-03-24 08:40:33,2021-03-24,08:40:33.0000000,in
00025,2021-03-24 08:53:09,2021-03-24,08:53:09.0000000,in
1289,2021-03-24 08:56:16,2021-03-24,08:56:16.0000000,in
1141,2021-03-24 08:56:52,2021-03-24,08:56:52.0000000,in
00020,2021-03-24 08:58:25,2021-03-24,08:58:25.0000000,in
00022,2021-03-24 08:58:28,2021-03-24,08:58:28.0000000,in
00026,2021-03-24 08:59:02,2021-03-24,08:59:02.0000000,in
00026,2021-03-24 08:59:08,2021-03-24,08:59:08.0000000,in
00019,2021-03-24 09:00:08,2021-03-24,09:00:08.0000000,in
0019,2021-03-24 09:00:19,2021-03-24,09:00:19.0000000,in
00024,2021-03-24 09:07:59,2021-03-24,09:07:59.0000000,in
0847,2021-03-24 09:09:11,2021-03-24,09:09:11.0000000,in
00015,2021-03-24 09:09:19,2021-03-24,09:09:19.0000000,in
3333,2021-03-24 09:10:09,2021-03-24,09:10:09.0000000,in
052,2021-03-24 09:17:26,2021-03-24,09:17:26.0000000,in
1002,2021-03-24 09:20:09,2021-03-24,09:20:09.0000000,in
00023,2021-03-24 09:21:56,2021-03-24,09:21:56.0000000,in
1290,2021-03-24 09:27:56,2021-03-24,09:27:56.0000000,in
1285,2021-03-24 09:39:09,2021-03-24,09:39:09.0000000,in
00017,2021-03-24 09:41:19,2021-03-24,09:41:19.0000000,in
1271,2021-03-24 09:43:40,2021-03-24,09:43:40.0000000,in
0755,2021-03-24 09:44:34,2021-03-24,09:44:34.0000000,in
0888,2021-03-24 09:59:12,2021-03-24,09:59:12.0000000,in
0847,2021-03-24 10:11:26,2021-03-24,10:11:26.0000000,in
1123,2021-03-24 10:11:31,2021-03-24,10:11:31.0000000,in
0847,2021-03-24 12:42:53,2021-03-24,12:42:53.0000000,in
00019,2021-03-24 13:29:46,2021-03-24,13:29:46.0000000,in
00019,2021-03-24 13:51:02,2021-03-24,13:51:02.0000000,in
0019,2021-03-24 14:39:43,2021-03-24,14:39:43.0000000,in
00019,2021-03-24 16:51:43,2021-03-24,16:51:43.0000000,in
00019,2021-03-24 16:51:59,2021-03-24,16:51:59.0000000,out
00019,2021-03-24 16:52:08,2021-03-24,16:52:08.0000000,in
00019,2021-03-24 16:52:13,2021-03-24,16:52:13.0000000,in
00019,2021-03-24 16:52:18,2021-03-24,16:52:18.0000000,in
00019,2021-03-24 16:52:22,2021-03-24,16:52:22.0000000,in
00019,2021-03-24 16:52:47,2021-03-24,16:52:47.0000000,in
00019,2021-03-24 16:52:55,2021-03-24,16:52:55.0000000,out
00019,2021-03-24 16:53:03,2021-03-24,16:53:03.0000000,out
00019,2021-03-24 16:53:10,2021-03-24,16:53:10.0000000,out
00019,2021-03-24 16:53:17,2021-03-24,16:53:17.0000000,in
00019,2021-03-24 16:53:25,2021-03-24,16:53:25.0000000,in
00015,2021-03-24 16:58:30,2021-03-24,16:58:30.0000000,in
00015,2021-03-24 16:58:39,2021-03-24,16:58:39.0000000,in
00015,2021-03-24 17:10:42,2021-03-24,17:10:42.0000000,in
00015,2021-03-24 17:10:46,2021-03-24,17:10:46.0000000,in
00015,2021-03-24 17:10:53,2021-03-24,17:10:53.0000000,in
00015,2021-03-24 17:11:01,2021-03-24,17:11:01.0000000,in
00015,2021-03-24 17:13:07,2021-03-24,17:13:07.0000000,out
00015,2021-03-24 17:14:24,2021-03-24,17:14:24.0000000,in
00015,2021-03-24 17:14:28,2021-03-24,17:14:28.0000000,out
1002,2021-03-24 17:15:47,2021-03-24,17:15:47.0000000,out
0888,2021-03-24 17:22:45,2021-03-24,17:22:45.0000000,out
1141,2021-03-24 17:57:51,2021-03-24,17:57:51.0000000,out
00021,2021-03-24 18:02:31,2021-03-24,18:02:31.0000000,out
00023,2021-03-24 18:02:41,2021-03-24,18:02:41.0000000,out
00015,2021-03-24 18:03:14,2021-03-24,18:03:14.0000000,in
00015,2021-03-24 18:03:19,2021-03-24,18:03:19.0000000,out
00026,2021-03-24 18:03:52,2021-03-24,18:03:52.0000000,out
00025,2021-03-24 18:03:55,2021-03-24,18:03:55.0000000,out
00017,2021-03-24 18:04:04,2021-03-24,18:04:04.0000000,out
00022,2021-03-24 18:06:19,2021-03-24,18:06:19.0000000,out
052,2021-03-24 18:06:21,2021-03-24,18:06:21.0000000,out
00019,2021-03-24 18:08:16,2021-03-24,18:08:16.0000000,out
00024,2021-03-24 18:08:33,2021-03-24,18:08:33.0000000,out
3333,2021-03-24 18:13:37,2021-03-24,18:13:37.0000000,out
1285,2021-03-24 18:20:04,2021-03-24,18:20:04.0000000,out
1289,2021-03-24 18:20:36,2021-03-24,18:20:36.0000000,out
00020,2021-03-24 18:46:52,2021-03-24,18:46:52.0000000,out
1123,2021-03-24 18:47:29,2021-03-24,18:47:29.0000000,out
0019,2021-03-24 19:38:51,2021-03-24,19:38:51.0000000,out
0847,2021-03-24 20:15:41,2021-03-24,20:15:41.0000000,out
70000,2021-03-25 06:17:51,2021-03-25,06:17:51.0000000,out
70000,2021-03-25 06:18:07,2021-03-25,06:18:07.0000000,in
70000,2021-03-25 07:38:05,2021-03-25,07:38:05.0000000,out
00024,2021-03-25 08:43:36,2021-03-25,08:43:36.0000000,in
00021,2021-03-25 08:43:45,2021-03-25,08:43:45.0000000,in
00025,2021-03-25 08:57:54,2021-03-25,08:57:54.0000000,in
00019,2021-03-25 08:58:13,2021-03-25,08:58:13.0000000,in
00022,2021-03-25 08:58:15,2021-03-25,08:58:15.0000000,in
00020,2021-03-25 08:59:54,2021-03-25,08:59:54.0000000,in
00015,2021-03-25 09:00:17,2021-03-25,09:00:17.0000000,in
3333,2021-03-25 09:02:01,2021-03-25,09:02:01.0000000,in
1290,2021-03-25 09:03:21,2021-03-25,09:03:21.0000000,out
1290,2021-03-25 09:03:29,2021-03-25,09:03:29.0000000,in
00023,2021-03-25 09:04:07,2021-03-25,09:04:07.0000000,in
1289,2021-03-25 09:04:13,2021-03-25,09:04:13.0000000,in
70000,2021-03-25 09:05:13,2021-03-25,09:05:13.0000000,in
70000,2021-03-25 09:05:43,2021-03-25,09:05:43.0000000,out
1272,2021-03-25 09:12:38,2021-03-25,09:12:38.0000000,in
1285,2021-03-25 09:13:12,2021-03-25,09:13:12.0000000,in
1002,2021-03-25 09:14:48,2021-03-25,09:14:48.0000000,in
052,2021-03-25 09:18:49,2021-03-25,09:18:49.0000000,in
0847,2021-03-25 09:20:28,2021-03-25,09:20:28.0000000,in
1123,2021-03-25 09:25:13,2021-03-25,09:25:13.0000000,in
1141,2021-03-25 09:33:25,2021-03-25,09:33:25.0000000,in
0888,2021-03-25 09:47:01,2021-03-25,09:47:01.0000000,in
1259,2021-03-25 09:56:41,2021-03-25,09:56:41.0000000,out
1259,2021-03-25 09:56:45,2021-03-25,09:56:45.0000000,in
1271,2021-03-25 09:57:42,2021-03-25,09:57:42.0000000,out
1271,2021-03-25 09:57:46,2021-03-25,09:57:46.0000000,in
00017,2021-03-25 10:05:05,2021-03-25,10:05:05.0000000,in
0019,2021-03-25 10:45:05,2021-03-25,10:45:05.0000000,in
0847,2021-03-25 10:52:47,2021-03-25,10:52:47.0000000,out
0847,2021-03-25 10:52:51,2021-03-25,10:52:51.0000000,in
1272,2021-03-25 12:03:26,2021-03-25,12:03:26.0000000,out
1290,2021-03-25 12:53:44,2021-03-25,12:53:44.0000000,out
